userId	artist	artistId	rank
1585	U2	511	1
1585	Depeche Mode	72	2
1585	Michael Jackson	157	3
1585	Madonna	67	4
1585	Coldplay	65	5
1585	The Police	1122	6
1585	Genesis	1413	7
1585	Phil Collins	3302	8
1585	Bryan Adams	253	9
1585	The Alan Parsons Project	7054	10
1585	Pet Shop Boys	1001	11
1585	Hall & Oates	2554	12
1585	Journey	945	13
1585	Soft Cell	3768	14
1585	Groove Armada	80	15
1585	INXS	99	16
1585	Yes	3481	17
1585	Boards of Canada	748	18
1585	Sade	69	19
1585	Tiësto	1009	20
1585	City and Colour	2608	21
1585	Peter Gabriel	2469	22
1585	The Beatles	227	23
1585	Pink Floyd	163	24
1585	Muse	190	25
1585	Radiohead	154	26
1585	Nirvana	234	27
1585	Led Zeppelin	1412	28
1585	Metallica	707	29
1585	Pearl Jam	614	30
1585	a-ha	187	31
1585	Björk	1098	32
1585	The Cure	159	33
1585	Duran Duran	51	34
1585	Iron Maiden	917	35
1585	System of a Down	198	36
1585	Daft Punk	56	37
1585	Nine Inch Nails	233	38
1585	Linkin Park	377	39
1585	Kelly Clarkson	291	40
1585	Christina Aguilera	292	41
1585	Lady Gaga	89	42
1585	Rihanna	288	43
1585	Shakira	701	44
1585	Katy Perry	300	45
1585	Avril Lavigne	333	46
1585	Taylor Swift	344	47
1585	Evanescence	378	48
1585	P!nk	302	49
1585	My Chemical Romance	209	50
1459	The Beatles	227	1
1459	Pink Floyd	163	2
1459	Metallica	707	3
1459	Nirvana	234	4
1459	Led Zeppelin	1412	5
1459	Radiohead	154	6
1459	Muse	190	7
1459	The Killers	229	8
1459	Coldplay	65	9
1459	Pearl Jam	614	10
1459	Iron Maiden	917	11
1459	AC/DC	706	12
1459	U2	511	13
1459	The Smiths	429	14
1459	Arctic Monkeys	207	15
1459	System of a Down	198	16
1459	Nine Inch Nails	233	17
1459	Placebo	173	18
1459	The Cranberries	166	19
1459	Kings of Convenience	604	20
1459	Tom Waits	197	21
1459	Mark Lanegan	6730	22
1459	Belle and Sebastian	618	23
1459	Band of Horses	223	24
1459	Suzanne Vega	3119	25
1459	Yann Tiersen	1109	26
1459	Édith Piaf	3310	27
1459	Beirut	196	28
1459	The Shins	3258	29
1459	Nouvelle Vague	2616	30
1459	Sia	697	31
1459	Amy Macdonald	1463	32
1459	Duran Duran	51	33
1459	Blur	203	34
1459	Björk	1098	35
1459	Daft Punk	56	36
1459	Kylie Minogue	55	37
1459	Madonna	67	38
1459	Lady Gaga	89	39
1459	Christina Aguilera	292	40
1459	Shakira	701	41
1459	Rihanna	288	42
1459	Katy Perry	300	43
1459	Avril Lavigne	333	44
1459	Taylor Swift	344	45
1459	Evanescence	378	46
1459	Glee Cast	679	47
1459	Beyoncé	295	48
1459	Ke$ha	466	49
1459	Michael Jackson	157	50
1879	Tool	1131	1
1879	A Perfect Circle	1118	2
1879	Deftones	512	3
1879	Nine Inch Nails	233	4
1879	Rage Against the Machine	1974	5
1879	System of a Down	198	6
1879	Metallica	707	7
1879	Opeth	188	8
1879	Faith No More	1119	9
1879	Queens of the Stone Age	226	10
1879	Pearl Jam	614	11
1879	Red Hot Chili Peppers	220	12
1879	Muse	190	13
1879	Green Day	230	14
1879	Led Zeppelin	1412	15
1879	Radiohead	154	16
1879	Massive Attack	238	17
1879	David Bowie	599	18
1879	Frank Zappa	2624	19
1879	Genesis	1413	20
1879	Animal Collective	440	21
1879	Sum 41	1186	22
1879	Riverside	3940	23
1879	O.S.T.R.	1975	24
1879	Manu Chao	447	25
1879	Czesław Śpiewa	1980	26
1879	Archive	1790	27
1879	The Beatles	227	28
1879	Nirvana	234	29
1879	Iron Maiden	917	30
1879	Pink Floyd	163	31
1879	Placebo	173	32
1879	Arctic Monkeys	207	33
1879	Blur	203	34
1879	Michael Jackson	157	35
1879	Amy Winehouse	903	36
1879	Björk	1098	37
1879	Daft Punk	56	38
1879	Linkin Park	377	39
1879	The Killers	229	40
1879	U2	511	41
1879	Duran Duran	51	42
1879	Coldplay	65	43
1879	Kylie Minogue	55	44
1879	Madonna	67	45
1879	Rihanna	288	46
1879	Lady Gaga	89	47
1879	Shakira	701	48
1879	Christina Aguilera	292	49
1879	Paramore	498	50
336	Explosions in the Sky	632	1
336	Sigur Rós	418	2
336	Mogwai	1418	3
336	This Will Destroy You	6759	4
336	Hammock	1731	5
336	Godspeed You! Black Emperor	6048	6
336	Caspian	4232	7
336	Russian Circles	2771	8
336	Mono	763	9
336	If These Trees Could Talk	5799	10
336	And So I Watch You From Afar	11272	11
336	Maybeshewill	3817	12
336	Cult of Luna	2817	13
336	Isis	769	14
336	Pelican	6830	15
336	Red Sparowes	2828	16
336	Do Make Say Think	1737	17
336	The Album Leaf	621	18
336	Yndi Halda	11712	19
336	Radiohead	154	31
336	Pink Floyd	163	32
336	Led Zeppelin	1412	33
336	Nirvana	234	34
336	Metallica	707	35
336	Iron Maiden	917	36
336	Pearl Jam	614	37
336	Nine Inch Nails	233	38
336	Daft Punk	56	39
336	The Cure	159	40
336	Coldplay	65	43
336	Arctic Monkeys	207	44
336	Placebo	173	45
336	The Killers	229	46
336	My Chemical Romance	209	47
