userId	title	movieId	rank
1984	In Flames	503	1
1984	Children of Bodom	923	2
1984	Dark Tranquillity	812	3
1984	Atreyu	830	4
1984	Saosin	507	5
1984	Devin Townsend	1994	6
1984	Pain of Salvation	2006	7
1984	Agalloch	1134	8
1984	Kamelot	936	9
1984	Katatonia	370	10
1984	Moonspell	6	11
1984	Lacuna Coil	2014	12
1984	Arch Enemy	953	13
1984	Nightwish	930	14
1984	Sonata Arctica	1339	15
1984	Helloween	928	16
1984	Blind Guardian	957	17
1984	Edguy	1350	18
1984	Stratovarius	937	19
1984	Angra	924	20
1984	Apocalyptica	726	21
1984	Megadeth	918	22
1984	Ozzy Osbourne	724	23
1984	Mötley Crüe	1803	24
1984	KISS	2343	25
1984	Disturbed	978	26
1984	Bullet for My Valentine	500	27
1984	Five Finger Death Punch	834	28
1984	Escape The Fate	1180	29
1984	In This Moment	2062	30
1984	The Used	537	31
1984	Red	1852	32
1984	Yellowcard	1866	33
1984	Hawthorne Heights	1194	34
1984	The Birthday Massacre	487	35
1984	My Chemical Romance	209	36
1984	Panic! At the Disco	1246	37
1984	The Rasmus	405	38
1984	Linkin Park	377	39
1984	Paramore	498	40
1984	A Day to Remember	816	41
1984	Avenged Sevenfold	1672	42
1984	Underoath	2850	43
1984	System of a Down	198	44
1984	Nevermore	943	45
1984	Rammstein	1104	46
1984	Hollywood Undead	1863	47
1984	The Prodigy	1099	48
1984	Depeche Mode	72	49
1984	New Order	59	50
14	Ray Charles	572	1
14	Aretha Franklin	575	2
14	Marvin Gaye	576	3
14	Sam Cooke	567	4
14	Muddy Waters	580	5
14	The Who	562	6
14	Howlin' Wolf	565	7
14	Ennio Morricone	592	8
14	Stevie Wonder	1427	9
14	Pink Floyd	163	10
14	Queen	959	11
14	Electric Light Orchestra	717	12
14	The Doors	868	13
14	Cream	2855	14
14	Jimi Hendrix	1639	15
14	Led Zeppelin	1412	16
14	Robert Johnson	5660	17
14	John Lee Hooker	583	18
14	Buddy Guy	2894	19
14	Eric Clapton	728	20
14	Janis Joplin	2786	21
14	The Rolling Stones	735	22
14	The Beatles	227	23
14	Louis Armstrong	3019	24
14	The Beach Boys	1242	25
14	Radiohead	154	26
14	The Velvet Underground	863	27
14	ZZ Top	2901	28
14	Genesis	1413	29
14	U2	511	30
14	Cabaret Voltaire	2043	31
14	The Strokes	424	32
14	Rage Against the Machine	1974	33
14	System of a Down	198	34
14	She & Him	437	35
14	Bob Marley	250	36
14	Céline Dion	265	37
14	Paul McCartney & Wings	3071	38
14	The White Stripes	709	39
14	John Lennon	733	40
14	Forever the Sickest Kids	1040	41
14	Stevie Ray Vaughan and Double Trouble	2864	42
14	The Bird and The Bee	3206	43
14	Kings of Leon	228	44
14	Arctic Monkeys	207	45
14	Sublime	2637	46
14	Beck	206	47
14	AC/DC	706	48
14	The Byrds	3458	49
14	Gavin DeGraw	3749	50
