userId	title	itemId	rank
1106	 Lady Gaga	89	1
1106	 Madonna	67	2
1106	 Katy Perry	300	3
1106	 Rihanna	288	4
1106	 Shakira	701	5
1106	 Christina Aguilera	292	6
1106	 Britney Spears	289	7
1106	 Taylor Swift	344	8
1106	 Miley Cyrus	461	9
1106	 Ke$ha	466	10
1106	 Evanescence	378	11
1106	 Glee Cast	679	12
1106	 Beyoncé	295	13
1106	 U2	511	14
1106	 30 Seconds to Mars	486	15
1106	 Paramore	498	16
1106	 The Beatles	227	17
1106	 Avril Lavigne	333	18
1106	 Muse	190	19
1106	 Pink Floyd	163	20
1106	 Kylie Minogue	55	21
1106	 Radiohead	154	22
1106	 Coldplay	65	23
1106	 Blur	203	24
1106	 Arctic Monkeys	207	25
1106	 Placebo	173	26
1106	 The Killers	229	27
1106	 Nirvana	234	28
1106	 Iron Maiden	917	29
1106	 Amy Winehouse	903	30
1106	 Led Zeppelin	1412	31
1106	 Metallica	707	32
1106	 Michael Jackson	157	33
1106	 Pearl Jam	614	34
1106	 Depeche Mode	72	35
1106	 a-ha	187	36
1106	 Björk	1098	37
1106	 System of a Down	198	38
1106	 Daft Punk	56	39
1106	 Nine Inch Nails	233	40
1106	 Linkin Park	377	41
1106	 Kelly Clarkson	291	42
1106	 All Time Low	687	43
1106	 P!nk	302	44
1106	 Avenged Sevenfold	1672	45
1106	 Black Eyed Peas	306	46
1106	 My Chemical Romance	209	47
1106	 Green Day	230	48
1106	 The Cure	159	49
1106	 Alanis Morissette	316	50
1379	 Britney Spears	289	1
1379	 Lady Gaga	89	2
1379	 Katy Perry	300	3
1379	 Avril Lavigne	333	4
1379	 Glee Cast	679	5
1379	 Miley Cyrus	461	6
1379	 Kylie Minogue	55	7
1379	 Kelly Clarkson	291	8
1379	 Christina Aguilera	292	9
1379	 Madonna	67	10
1379	 Rihanna	288	11
1379	 Shakira	701	12
1379	 Taylor Swift	344	13
1379	 Paramore	498	14
1379	 Evanescence	378	15
1379	 Beyoncé	295	16
1379	 U2	511	17
1379	 30 Seconds to Mars	486	18
1379	 Muse	190	19
1379	 Pink Floyd	163	20
1379	 Depeche Mode	72	21
1379	 The Beatles	227	22
1379	 Ke$ha	466	23
1379	 Coldplay	65	24
1379	 Duran Duran	51	25
1379	 Blur	203	26
1379	 Arctic Monkeys	207	27
1379	 Placebo	173	28
1379	 The Killers	229	29
1379	 Nirvana	234	30
1379	 Iron Maiden	917	31
1379	 Amy Winehouse	903	32
1379	 Led Zeppelin	1412	33
1379	 Metallica	707	34
1379	 Michael Jackson	157	35
1379	 Pearl Jam	614	36
1379	 A-ha	187	37
1379	 Björk	1098	38
1379	 System of a Down	198	39
1379	 Daft Punk	56	40
1379	 Nine Inch Nails	233	41
1379	 Linkin Park	377	42
1379	 All Time Low	687	43
1379	 P!nk	302	44
1379	 Avenged Sevenfold	1672	45
1379	 Black Eyed Peas	306	46
1379	 My Chemical Romance	209	47
1379	 Green Day	230	48
1379	 The Cure	159	49
1379	 Vanessa Carlton	2546	50
1505	 Depeche Mode	72	1
1505	 Evanescence	378	2
1505	 Radiohead	154	3
1505	 Placebo	173	4
1505	 Coldplay	65	5
1505	 a-ha	187	6
1505	 Björk	1098	7
1505	 Nine Inch Nails	233	8
1505	 Linkin Park	377	9
1505	 Lady Gaga	89	10
1505	 Christina Aguilera	292	11
1505	 Paramore	498	12
1505	 Madonna	67	13
1505	 Rihanna	288	14
1505	 Shakira	701	15
1505	 The Beatles	227	16
1505	 Katy Perry	300	17
1505	 Avril Lavigne	333	18
1505	 Taylor Swift	344	19
1505	 Glee Cast	679	20
1505	 Beyoncé	295	21
1505	 U2	511	22
1505	 30 Seconds to Mars	486	23
1505	 Muse	190	24
1505	 Pink Floyd	163	25
1505	 Kylie Minogue	55	26
1505	 Miley Cyrus	461	27
1505	 Ke$ha	466	28
1505	 Duran Duran	51	29
1505	 Blur	203	30
1505	 Arctic Monkeys	207	31
1505	 The Killers	229	32
1505	 Nirvana	234	33
1505	 Iron Maiden	917	34
1505	 Amy Winehouse	903	35
1505	 Led Zeppelin	1412	36
1505	 Michael Jackson	157	37
1505	 Pearl Jam	614	38
1505	 System of a Down	198	39
