userId	title	itemId	rank
35	 Braveheart (1995) 5/5	110	1
35	 Shawshank Redemption, The (1994) 5/5	318	2
35	 Forrest Gump (1994) 5/5	356	3
35	 Lion King, The (1994) 5/5	364	4
35	 Jurassic Park (1993) 5/5	480	5
35	 Schindler's List (1993) 5/5	527	6
35	 Silence of the Lambs, The (1991) 5/5	593	7
35	 Toy Story (1995) 5/5	1	8
35	 Saving Private Ryan (1998) 5/5	2028	9
35	 American Beauty (1999) 5/5	2858	10
35	 Gladiator (2000) 5/5	3578	11
35	 Lord of the Rings: The Fellowship of the Ring (2001) 5/5	4993	12
35	 Lord of the Rings: The Two Towers (2002) 5/5	5952	13
35	 Lord of the Rings: The Return of the King (2003) 5/5	7153	14
35	 Titanic (1997) 5/5	1721	15
35	 Matrix, The (1999) 5/5	2571	16
35	 Beauty and the Beast (1991) 5/5	595	17
35	 Aladdin (1992) 5/5	588	18
35	 Groundhog Day (1993) 5/5	1265	19
35	 Good Will Hunting (1997) 5/5	1704	20
35	 Sixth Sense, The (1999) 5/5	2762	21
35	 Fight Club (1999) 5/5	2959	22
35	 American Pie (1999) 4/5	2706	23
35	 Big Lebowski, The (1998) 4/5	1732	24
35	 Princess Bride, The (1987) 4/5	1197	25
35	 Boondock Saints, The (1999) 4/5	3275	26
35	 Life is Beautiful (1997) 4/5	2324	27
35	 Memento (2000) 4/5	4226	28
35	 Monty Python and the Holy Grail (1975) 4/5	1136	29
35	 Office Space (1999) 4/5	2502	30
35	 Pulp Fiction (1994) 4/5	296	31
35	 Raiders of the Lost Ark (1981) 4/5	69524	32
35	 Reservoir Dogs (1992) 4/5	1089	33
35	 Star Wars: Episode IV - A New Hope (1977) 4/5	260	34
35	 Star Wars: Episode V - The Empire Strikes Back (1980) 4/5	1196	35
35	 Star Wars: Episode VI - Return of the Jedi (1983) 4/5	1210	36
35	 Big (1988) 3/5	2797	37
35	 Blues Brothers, The (1980) 3/5	1220	38
35	 Caddyshack (1980) 3/5	3552	39
35	 Casablanca (1942) 3/5	912	40
35	 Goodfellas (1990) 3/5	1213	41
35	 Indiana Jones and the Last Crusade (1989) 3/5	1291	42
35	 It's a Wonderful Life (1946) 3/5	953	43
35	 Rocky (1976) 3/5	1954	44
35	 Terminator 2: Judgment Day (1991) 3/5	589	45
35	 Wizard of Oz, The (1939) 3/5	919	46
35	 Airplane! (1980) 2/5	2791	47
35	 Austin Powers: International Man of Mystery (1997) 2/5	1517	48
35	 Ghostbusters (1984) 2/5	2717	49
35	 Wayne's World (1992) 2/5	3253	50
11	 Jurassic Park (1993)	480	1
11	 Forrest Gump (1994)	356	2
11	 Schindler's List (1993)	527	3
11	 Lion King, The (1994)	364	4
11	 American President, The (1995)	11	5
11	 Toy Story (1995)	1	6
11	 Braveheart (1995)	110	7
11	 Usual Suspects, The (1995)	50	8
11	 Sixth Sense, The (1999)	2762	9
11	 Matrix, The (1999)	2571	10
11	 Saving Private Ryan (1998)	2028	11
11	 Gladiator (2000)	3578	12
11	 American Beauty (1999)	2858	13
11	 Fight Club (1999)	2959	14
11	 Crouching Tiger, Hidden Dragon (2000)	3996	15
11	 Lord of the Rings: The Fellowship of the Ring (2001)	4993	16
11	 Lord of the Rings: The Two Towers (2002)	5952	17
11	 Lord of the Rings: The Return of the King (2003)	7153	18
11	 Memento (2000)	4226	19
11	 Donnie Darko (2001)	4878	20
11	 Pirates of the Caribbean: The Curse of the Black Pearl (2003)	6539	21
11	 Spider-Man (2002)	5349	22
11	 Finding Nemo (2003)	6377	23
11	 Seabiscuit (2003)	6565	24
11	 Kill Bill: Vol. 1 (2003)	6874	25
11	 Kill Bill: Vol. 2 (2004)	7438	26
11	 Eternal Sunshine of the Spotless Mind (2004)	7361	27
11	 Sideways (2004)	8949	28
11	 Crash (2004)	33166	29
11	 King Kong (2005)	41569	30
11	 Brokeback Mountain (2005)	39183	31
11	 Departed, The (2006)	48516	32
11	 Little Miss Sunshine (2006)	46578	33
11	 No Country for Old Men (2007)	55820	34
11	 Slumdog Millionaire (2008)	63082	35
11	 Avatar (2009)	72998	36
11	 Inception (2010)	79132	37
11	 Social Network, The (2010)	80463	38
11	 Toy Story 3 (2010)	78499	39
11	 King's Speech, The (2010)	81845	40
11	 Argo (2012)	97304	41
11	 Silver Linings Playbook (2012)	97921	42
11	 Gravity (2013)	104841	43
11	 Wolf of Wall Street, The (2013)	106782	44
11	 Big Hero 6 (2014)	115617	45
11	 Inside Out (2015)	134853	46
11	 Mad Max: Fury Road (2015)	122882	47
11	 Spotlight (2015)	142488	48
11	 La La Land (2016)	164909	49
11	 Get Out (2017)	168250	50
548	 Inception (2010)	79132	1
548	 Avengers: Infinity War (2018)	122912	2
548	 The Dark Knight Rises (2012)	91529	3
548	 The Lord of the Rings: The Return of the King (2003)	7153	4
548	 The Shawshank Redemption (1994)	318	5
548	 Pulp Fiction (1994)	296	6
548	 Fight Club (1999)	2959	7
548	 The Godfather (1972)	858	8
548	 The Godfather: Part II (1974)	1221	9
548	 The Silence of the Lambs (1991)	135937	10
548	 The Departed (2006)	48516	11
548	 The Prestige (2006)	172233	12
548	 The Green Mile (1999)	3147	13
548	 The Lion King (1994)	134019	14
548	 Goodfellas (1990)	1213	15
548	 Saving Private Ryan (1998)	2028	16
548	 Gladiator (2000)	3578	17
548	 The Big Lebowski (1998)	1732	18
