userId	title	itemId	rank
19	 The Godfather (1972)	858	1
19	 The Silence of the Lambs (1991)	135937	2
19	 Raiders of the Lost Ark (1981)	69524	3
19	 The Wizard of Oz (1939)	919	4
19	 Schindler's List (1993)	527	5
19	 Star Wars: Episode IV - A New Hope (1977)	260	6
19	 The Empire Strikes Back (1980)	1196	7
19	 The Lion King (1994)	134019	8
19	 Citizen Kane (1941)	923	9
19	 It's a Wonderful Life (1946)	953	10
19	 Casablanca (1942)	912	11
19	 The Terminator (1984)	1240	12
19	 Braveheart (1995)	110	13
19	 The Crow (1994)	473	14
19	 The Sixth Sense (1999)	2762	15
19	 The Matrix (1999)	2571	16
19	 The Shawshank Redemption (1994)	318	17
19	 To Kill a Mockingbird (1962)	1207	18
19	 The Bridge on the River Kwai (1957)	1250	19
19	 The Untouchables (1987)	2194	20
19	 Singin' in the Rain (1952)	899	21
19	 Snow White and the Seven Dwarfs (1937)	594	22
19	 The Godfather: Part II (1974)	1221	23
19	 Star Trek II: The Wrath of Khan (1982)	1374	24
19	 Star Trek VI: The Undiscovered Country (1991)	1372	25
19	 The Fifth Element (1997)	1527	26
19	 The Princess Bride (1987)	1197	27
19	 The Fly (1986)	2455	28
19	 The Big Lebowski (1998)	1732	29
19	 The Dark Crystal (1982)	2140	30
19	 The Rocky Horror Picture Show (1975)	2657	31
19	 The Sting (1973)	180263	32
19	 Psycho (1960)	1219	33
19	 Alien (1979)	1214	34
19	 The Fish Called Wanda (1988)	1079	35
19	 Willy Wonka & the Chocolate Factory (1971)	1073	36
19	 The Muppet Movie (1979)	3396	38
19	 E.T. the Extra-Terrestrial (1982)	1097	39
19	 Who Framed Roger Rabbit? (1988)	2987	40
19	 Close Encounters of the Third Kind (1977)	3471	41
19	 Toy Story (1995)	1	42
19	 The Mask (1994)	340	43
19	 The Fugitive (1993)	4675	44
19	 Four Weddings and a Funeral (1994)	357	45
19	 Léon: The Professional (1994)	136024	46
19	 October Sky (1999)	2501	47
19	 The Paper (1994)	564	48
19	 To Braveheart (1995)	110	49
19	 Planet of the Apes (1968)	2529	50
204	 The Prestige (2006)	172233	1
204	 The Dark Knight (2008)	58559	2
204	 Inglourious Basterds (2009)	68157	3
204	 The Girl with the Dragon Tattoo (2011)	91658	4
204	 Seven (a.k.a. Se7en) (1995)	47	5
204	 The Shawshank Redemption (1994)	318	6
204	 The Silence of the Lambs (1991)	135937	7
204	 The Godfather (1972)	858	8
