userId	title	itemId	rank
31	 The Shawshank Redemption (1994)	318	1
31	 The Silence of the Lambs (1991)	135937	2
31	 The Usual Suspects (1995)	50	3
31	 The Good, the Bad and the Ugly (Buono, il brutto, il cattivo, Il) (1966)	1201	4
31	 Pulp Fiction (1994)	296	5
31	 Fight Club (1999)	2959	6
31	 The Matrix (1999)	2571	7
31	 Seven (a.k.a. Se7en) (1995)	47	8
31	 Fargo (1996)	608	9
31	 The Dark Knight (2008)	58559	10
31	 The Sixth Sense (1999)	2762	11
31	 Sin City (2005)	32587	12
31	 Aladdin (1992)	588	13
31	 Terminator 2: Judgment Day (1991)	589	14
31	 Dances with Wolves (1990)	590	15
31	 Schindler's List (1993)	527	16
31	 American Beauty (1999)	2858	17
31	 The Lord of the Rings: The Fellowship of the Ring (2001)	4993	18
31	 Apollo 13 (1995)	150	19
31	 The Wizard of Oz (1939)	919	20
31	 Inception (2010)	79132	21
31	 Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	32	22
31	 Bowling for Columbine (2002)	5669	23
31	 Tombstone (1993)	553	24
31	 Willy Wonka & the Chocolate Factory (1971)	1073	25
31	 The Maltese Falcon (1941)	913	26
31	 Roger & Me (1989)	2064	27
31	 Super Size Me (2004)	8464	28
31	 Toy Story (1995)	1	29
31	 The Lord of the Rings: The Two Towers (2002)	5952	30
31	 Dark City (1998)	1748	31
31	 Back to the Future Part III (1990)	2012	32
31	 Jurassic Park (1993)	480	33
31	 Forrest Gump (1994)	356	34
31	 Chinatown (1974)	1252	35
31	 Finding Nemo (2003)	6377	36
31	 The Shining (1980)	180263	37
31	 The Lion King (1994)	134019	38
31	 Saving Private Ryan (1998)	2028	39
31	 Braveheart (1995)	110	40
31	 Star Wars: Episode IV - A New Hope (1977)	260	41
31	 Star Wars: Episode V - The Empire Strikes Back (1980)	1196	42
31	 The Princess Bride (1987)	1197	43
31	 Fahrenheit 9/11 (2004)	8622	44
31	 Aliens (1986)	1200	45
31	 Die Hard (1988)	1036	46
31	 Speed (1994)	377	47
31	 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	1198	48
31	 Everyone Says I Love You (1996)	1057	49
31	 M*A*S*H (a.k.a. MASH) (1970)	5060	50
121	 Shawshank Redemption, The (1994)	318	1
121	 Pulp Fiction (1994)	296	2
121	 Toy Story (1995)	1	3
121	 Lord of the Rings: The Fellowship of the Ring, The (2001)	4993	4
121	 Memento (2000)	4226	5
121	 Star Wars: Episode IV - A New Hope (1977)	260	6
121	 Matrix, The (1999)	2571	7
121	 Fight Club (1999)	2959	8
121	 Schindler's List (1993)	527	9
121	 Super Size Me (2004)	8464	10
121	 Roger & Me (1989)	2064	11
121	 Maltese Falcon, The (1941)	913	12
121	 Apollo 13 (1995)	150	13
121	 Wizard of Oz, The (1939)	919	14
121	 Inception (2010)	79132	15
121	 Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	32	16
121	 Bowling for Columbine (2002)	5669	17
121	 Tombstone (1993)	553	18
121	 American Beauty (1999)	2858	19
121	 Star Wars: Episode V - The Empire Strikes Back (1980)	1196	20
121	 Princess Bride, The (1987)	1197	21
121	 Fahrenheit 9/11 (2004)	8622	22
121	 Seven (a.k.a. Se7en) (1995)	47	23
121	 Aliens (1986)	1200	24
121	 Willy Wonka & the Chocolate Factory (1971)	1073	25
121	 Usual Suspects, The (1995)	50	26
121	 Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)	1201	27
121	 Alien (1979)	1214	28
121	 Lord of the Rings: The Two Towers, The (2002)	5952	29
121	 Dark Knight, The (2008)	58559	30
121	 Sixth Sense, The (1999)	2762	31
