userId	title	movieId	rank
14	Pulp Fiction (1994)	296	1
14	The Usual Suspects (1995)	50	2
14	Léon: The Professional (a.k.a. The Professional) (Léon) (1994)	293	3
14	Forrest Gump (1994)	356	4
14	The Shawshank Redemption (1994)	318	5
14	Braveheart (1995)	110	6
14	Legends of the Fall (1994)	266	7
14	The Lion King (1994)	134019	8
14	What's Eating Gilbert Grape (1993)	337	9
14	Nell (1994)	282	10
14	The Piano (1993)	131104	11
14	Schindler's List (1993)	527	12
14	Dead Man Walking (1995)	36	13
14	Apollo 13 (1995)	150	14
14	The Silence of the Lambs (1991)	135937	15
14	Jumanji (1995)	2	16
14	Babe (1995)	34	17
14	Little Women (1994)	261	18
14	Four Weddings and a Funeral (1994)	357	19
14	GoldenEye (1995)	10	20
14	Clear and Present Danger (1994)	349	21
14	The Jungle Book (1994)	137857	22
14	The Birdcage (1996)	141	23
14	Mrs. Doubtfire (1993)	500	24
14	Heat (1995)	6	25
14	Mortal Kombat (1995)	44	26
14	The Quick and the Dead (1995)	303	27
14	Quiz Show (1994)	300	28
14	Aladdin (1992)	588	29
14	Maverick (1994)	368	30
14	Mr. Holland's Opus (1995)	62	31
14	Addams Family Values (1993)	410	32
14	Star Trek: Generations (1994)	329	33
14	In the Line of Fire (1993)	474	34
14	The American President (1995)	11	35
14	Leaving Las Vegas (1995)	25	36
14	Batman Forever (1995)	153	37
14	Stargate (1994)	316	38
14	The Firm (1993)	6049	39
14	The Madness of King George (1994)	272	40
14	The Fugitive (1993)	4675	41
14	Toy Story (1995)	1	42
14	True Lies (1994)	380	43
14	Crimson Tide (1995)	161	44
14	Waterworld (1995)	208	45
14	Hoop Dreams (1994)	246	46
14	Die Hard: With a Vengeance (1995)	165	47
14	The Specialist (1994)	315	48
14	Beverly Hills Cop III (1994)	420	49
14	Casino (1995)	16	50
29	Godfather: Part II, The (1974)	1221	1
29	Schindler's List (1993)	527	2
29	Star Wars: Episode V - The Empire Strikes Back (1980)	1196	3
29	One Flew Over the Cuckoo's Nest (1975)	1193	4
29	Godfather, The (1972)	858	5
29	Rear Window (1954)	904	6
29	2001: A Space Odyssey (1968)	924	7
29	Bridge on the River Kwai, The (1957)	1250	8
29	Full Metal Jacket (1987)	1222	9
29	Apocalypse Now (1979)	1208	10
29	Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)	1201	11
29	Clockwork Orange, A (1971)	1206	12
29	Wizard of Oz, The (1939)	919	13
29	Citizen Kane (1941)	923	14
29	Star Wars: Episode IV - A New Hope (1977)	260	15
29	Terminator 2: Judgment Day (1991)	589	16
29	Jaws (1975)	1387	17
29	Jurassic Park (1993)	480	18
29	Batman Begins (2005)	33794	19
29	Misery (1990)	3499	20
29	Deer Hunter, The (1978)	1263	21
29	To Kill a Mockingbird (1962)	1207	22
29	Breakfast Club, The (1985)	1968	23
29	Fargo (1996)	608	24
29	Matrix, The (1999)	2571	25
29	Monty Python's Life of Brian (1979)	1080	26
29	Lord of the Rings: The Two Towers, The (2002)	5952	27
29	Star Wars: Episode VI - Return of the Jedi (1983)	1210	28
29	Léon: The Professional (a.k.a. The Professional) (Léon) (1994)	293	29
29	Psycho (1960)	1219	30
29	Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)	7099	31
29	O Brother, Where Art Thou? (2000)	4027	32
29	Moonstruck (1987)	3072	33
29	North by Northwest (1959)	908	34
29	Graduate, The (1967)	1247	35
29	In the Heat of the Night (1967)	1950	36
29	Mary Poppins (1964)	1028	37
29	Fifth Element, The (1997)	1527	38
29	Miracle on 34th Street (1947)	2398	39
29	Star Wars: Episode I - The Phantom Menace (1999)	2628	40
29	Spirited Away (Sen to Chihiro no kamikakushi) (2001)	5618	41
29	Mr. Smith Goes to Washington (1939)	954	42
29	As Good as It Gets (1997)	1784	43
29	Payback (1999)	2490	44
29	Beetlejuice (1988)	2174	45
29	Yojimbo (1961)	3030	46
29	Big Lebowski, The (1998)	1732	47
29	Outlaw Josey Wales, The (1976)	3508	48
164	Terminator 2: Judgment Day (1991)	589	1
164	Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	1198	2
164	Terminator, The (1984)	1240	3
164	Gladiator (2000)	3578	4
164	Predator (1987)	3527	5
164	Men in Black (a.k.a. MIB) (1997)	1580	6
164	Guns of Navarone, The (1961)	3654	7
164	Indiana Jones and the Last Crusade (1989)	1291	8
164	Star Trek: First Contact (1996)	1356	9
164	Braveheart (1995)	110	10
164	Star Wars: Episode V - The Empire Strikes Back (1980)	1196	11
164	Star Wars: Episode VI - Return of the Jedi (1983)	1210	12
164	E.T. the Extra-Terrestrial (1982)	1097	13
164	Aliens (1986)	1200	14
164	Die Hard (1988)	1036	15
164	Shawshank Redemption, The (1994)	318	16
164	Full Metal Jacket (1987)	1222	17
164	Godfather, The (1972)	858	18
164	Lawrence of Arabia (1962)	1204	19
164	Forrest Gump (1994)	356	20
164	Seven Samurai (Shichinin no samurai) (1954)	2019	21
164	Saving Private Ryan (1998)	2028	22
164	Alien (1979)	1214	23
164	Jaws (1975)	1387	24
164	Ghostbusters (a.k.a. Ghost Busters) (1984)	2716	25
164	Road Warrior, The (Mad Max 2) (1981)	3703	26
164	Blues Brothers, The (1980)	1220	27
164	Silence of the Lambs, The (1991)	593	28
164	Lethal Weapon 4 (1998)	1918	29
164	Face/Off (1997)	1573	30
164	Die Hard 2 (1990)	1370	31
164	Airplane! (1980)	2791	32
164	Apollo 13 (1995)	150	33
164	Mad Max (1979)	3702	34
164	Sling Blade (1996)	1358	35
164	Fugitive, The (1993)	457	36
164	American Beauty (1999)	2858	37
164	Chasing Amy (1997)	1639	38
164	Jurassic Park (1993)	480	39
164	X-Files: Fight the Future, The (1998)	1909	40
164	Time to Kill, A (1996)	805	41
164	Player, The (1992)	2289	42
164	Highlander (1986)	1275	43
164	Close Encounters of the Third Kind (1977)	3471	44
164	Legend of Drunken Master, The (Jui kuen II) (1994)	3972	45
164	Desperado (1995)	163	46
164	Usual Suspects, The (1995)	50	47
164	Boogie Nights (1997)	1673	48
164	Matrix, The (1999)	2571	49
164	Blazing Saddles (1974)	3671	50
364	Shawshank Redemption, The (1994)	318	1
364	Fargo (1996)	608	2
364	Heat (1995)	6	3
364	Silence of the Lambs, The (1991)	593	4
364	True Romance (1993)	555	5
364	Toy Story (1995)	1	6
364	Jerry Maguire (1996)	1393	7
364	Braveheart (1995)	110	8
364	Leaving Las Vegas (1995)	25	9
364	Dead Man Walking (1995)	36	10
364	Nutty Professor, The (1996)	788	11
364	Ransom (1996)	832	12
364	Island of Dr. Moreau, The (1996)	880	13
364	Mystery Science Theater 3000: The Movie (1996)	671	14
364	Mr. Holland's Opus (1995)	62	15
364	Sense and Sensibility (1995)	17	16
364	Up Close and Personal (1996)	140	17
364	Craft, The (1996)	724	18
364	Striptease (1996)	762	19
364	Nixon (1995)	14	20
364	Black Sheep (1996)	88	21
364	Birdcage, The (1996)	141	22
364	Kingpin (1996)	785	23
364	Courage Under Fire (1996)	647	24
364	Cable Guy, The (1996)	784	25
364	Beautiful Girls (1996)	94	26
364	Grumpier Old Men (1995)	3	27
364	Happy Gilmore (1996)	104	28
364	Fugitive, The (1993)	457	29
364	Sabrina (1995)	7	30
364	Client, The (1994)	350	31
364	Postman, The (Postino, Il) (1994)	58	32
364	Rock, The (1996)	733	33
364	Father of the Bride Part II (1995)	5	34
364	Down Periscope (1996)	135	35
364	Spy Hard (1996)	743	36
364	Jingle All the Way (1996)	1359	37
364	Mighty Aphrodite (1995)	52	38
364	Sgt. Bilko (1996)	637	39
364	Jack (1996)	765	40
364	Dragonheart (1996)	653	41
364	Multiplicity (1996)	719	42
364	Ghost and the Darkness, The (1996)	1049	43
364	James and the Giant Peach (1996)	661	44
364	Chain Reaction (1996)	836	45
364	Barb Wire (1996)	737	46
364	Firm, The (1993)	454	47
364	Truth About Cats & Dogs, The (1996)	708	48
364	Screamers (1995)	76	49
364	Escape from L.A. (1996)	849	50
155	Star Wars: Episode IV - A New Hope (1977)	260	1
155	Star Wars: Episode VI - Return of the Jedi (1983)	1210	2
155	Star Wars: Episode I - The Phantom Menace (1999)	2628	3
155	Star Wars: Episode III - Revenge of the Sith (2005)	33493	4
155	Gladiator (2000)	3578	5
155	Saving Private Ryan (1998)	2028	6
155	Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	1198	7
155	Jurassic Park (1993)	480	8
155	Terminator 2: Judgment Day (1991)	589	9
155	Die Hard (1988)	1036	10
155	Braveheart (1995)	110	11
155	Pulp Fiction (1994)	296	12
155	Seven (a.k.a. Se7en) (1995)	47	13
155	The Matrix (1999)	2571	14
155	Forrest Gump (1994)	356	15
155	Aliens (1986)	1200	16
155	X-Men (2000)	3793	17
155	Pirates of the Caribbean: The Curse of the Black Pearl (2003)	6539	18
155	The Iron Giant (1999)	2761	19
155	V for Vendetta (2006)	44191	20
155	American History X (1998)	2329	21
155	Groundhog Day (1993)	1265	22
155	Shaun of the Dead (2004)	8874	23
155	Little Big Man (1970)	3037	24
155	The Good, the Bad and the Ugly (Buono, il brutto, il cattivo, Il) (1966)	1201	25
155	Tron (1982)	2105	26
155	Indiana Jones and the Last Crusade (1989)	1291	27
155	The Hunt for Red October (1990)	1610	28
155	The Terminator (1984)	1240	29
155	The NeverEnding Story (1984)	2161	30
155	The Little Mermaid (1989)	2081	31
155	Mulan (1998)	1907	32
155	Hercules (1997)	1566	33
155	Casper (1995)	158	34
155	What Lies Beneath (2000)	3798	35
155	As Good as It Gets (1997)	1784	36
155	Shakespeare in Love (1998)	2396	37
155	Cliffhanger (1993)	434	38
155	Powder (1995)	24	39
155	High Plains Drifter (1973)	2921	40
155	Tombstone (1993)	553	41
155	Maverick (1994)	368	42
155	Batman Forever (1995)	153	43
155	The Few Good Men (1992)	2268	44
155	Total Recall (1990)	2916	45
155	The Excalibur (1981)	2872	46
155	Never Been Kissed (1999)	2581	47
155	Patch Adams (1998)	2431	48
155	Big Daddy (1999)	2694	49
155	Final Destination (2000)	3409	50
537	Inception (2010)	79132	1
537	The Dark Knight (2008)	58559	2
537	The Shawshank Redemption (1994)	318	3
537	The Godfather (1972)	858	4
537	The Godfather: Part II (1974)	1221	5
537	Pulp Fiction (1994)	296	6
537	Fight Club (1999)	2959	7
537	Forrest Gump (1994)	356	8
537	The Matrix (1999)	2571	9
537	Goodfellas (1990)	1213	10
537	The Silence of the Lambs (1991)	135937	11
537	Saving Private Ryan (1998)	2028	12
537	The Departed (2006)	48516	13
537	The Prestige (2006)	172233	14
