userId	title	movieId	rank
336	Shawshank Redemption, The (1994)	318	1
336	Godfather, The (1972)	858	2
336	Schindler's List (1993)	527	3
336	Matrix, The (1999)	2571	4
336	Star Wars: Episode IV - A New Hope (1977)	260	5
336	Lord of the Rings: The Fellowship of the Ring, The (2001)	4993	6
336	Fight Club (1999)	2959	7
336	Usual Suspects, The (1995)	50	8
336	Silence of the Lambs, The (1991)	593	9
336	Princess Bride, The (1987)	1197	10
336	Forrest Gump (1994)	356	11
336	Saving Private Ryan (1998)	2028	12
336	American Beauty (1999)	2858	13
336	Terminator 2: Judgment Day (1991)	589	14
336	Lion King, The (1994)	364	15
336	Jurassic Park (1993)	480	16
336	Fargo (1996)	608	17
336	Pulp Fiction (1994)	296	18
336	Dark Knight, The (2008)	58559	19
336	Inception (2010)	79132	20
336	Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)	1201	21
336	Aliens (1986)	1200	22
336	Léon: The Professional (a.k.a. The Professional) (Léon) (1994)	293	23
336	Braveheart (1995)	110	24
336	Shining, The (1980)	1258	25
336	Chinatown (1974)	1252	26
336	Back to the Future Part III (1990)	2012	27
336	Dances with Wolves (1990)	590	28
336	Dark City (1998)	1748	29
336	Maltese Falcon, The (1941)	913	30
336	Tombstone (1993)	553	31
336	Bowling for Columbine (2002)	5669	32
336	Fahrenheit 9/11 (2004)	8622	33
336	Roger & Me (1989)	2064	34
336	Super Size Me (2004)	8464	35
336	Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	32	36
336	Wizard of Oz, The (1939)	919	37
336	Aladdin (1992)	588	38
336	Beauty and the Beast (1991)	595	39
336	Finding Nemo (2003)	6377	40
336	Shrek (2001)	4306	41
336	Willy Wonka & the Chocolate Factory (1971)	1073	42
336	Apollo 13 (1995)	150	43
336	Star Wars: Episode V - The Empire Strikes Back (1980)	1196	44
336	Sixth Sense, The (1999)	2762	45
336	Sin City (2005)	32587	46
336	Toy Story (1995)	1	47
336	Memento (2000)	4226	48
336	Celebration, The (Festen) (1998)	2360	49
336	Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)	4973	50
464	Lord of the Rings: The Fellowship of the Ring, The (2001)	4993	1
464	Star Wars: Episode IV - A New Hope (1977)	260	2
464	Matrix, The (1999)	2571	3
464	Fight Club (1999)	2959	4
464	Schindler's List (1993)	527	5
464	Inception (2010)	79132	6
464	Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	32	7
464	Pulp Fiction (1994)	296	8
464	American Beauty (1999)	2858	9
464	Star Wars: Episode V - The Empire Strikes Back (1980)	1196	10
464	Princess Bride, The (1987)	1197	11
464	Seven (a.k.a. Se7en) (1995)	47	12
464	Usual Suspects, The (1995)	50	13
464	Shawshank Redemption, The (1994)	318	14
