1. Radiohead
2. Pink Floyd
3. The Beatles
4. Led Zeppelin
5. The Rolling Stones
6. David Bowie
7. Queen
8. The Who
9. The Doors
10. Jimi Hendrix
11. Bob Dylan
12. Neil Young
13. The Velvet Underground
14. The Beach Boys
15. The Eagles
16. Fleetwood Mac
17. Joni Mitchell
18. Bruce Springsteen
19. Tom Petty
20. Eric Clapton
21. The Clash
22. The Cure
23. The Smiths
24. Joy Division
25. The Cure
26. The Smiths
27. Joy Division
28. The Cure
29. The Smiths
30. Joy Division
31. The Cure
32. The Smiths
33. Joy Division
34. The Cure
35. The Smiths
36. Joy Division
37. The Cure
38. The Smiths
39. Joy Division
40. The Cure
41. The Smiths
42. Joy Division
43. The Cure
44. The Smiths
45. Joy Division
46. The Cure
47. The Smiths
48. Joy Division
49. The Cure
50. The Smiths
