1. Radiohead
2. The National
3. The XX
4. The Decemberists
5. The Shins
6. Arcade Fire
7. Bon Iver
8. Sufjan Stevens
9. The xx
10. The Antlers
11. The National
12. The Decemberists
13. The Shins
14. Arcade Fire
15. Bon Iver
16. Sufjan Stevens
17. The xx
18. The Antlers
19. The National
20. The Decemberists
21. The Shins
22. Arcade Fire
23. Bon Iver
24. Sufjan Stevens
25. The xx
26. The Antlers
27. The National
28. The Decemberists
29. The Shins
30. Arcade Fire
31. Bon Iver
32. Sufjan Stevens
33. The xx
34. The Antlers
35. The National
36. The Decemberists
37. The Shins
38. Arcade Fire
39. Bon Iver
40. Sufjan Stevens
41. The xx
42. The Antlers
43. The National
44. The Decemberists
45. The Shins
46. Arcade Fire
47. Bon Iver
48. Sufjan Stevens
49. The xx
50. The Antlers
