model;nDCG;Recall;Precision;nDCGRendle2020;HR;F1;MAP;MAR;MRR;ACLT;APLT;ARP;PopREO;PopRSP;ItemCoverage;UserCoverage;Gini;SEntropy;EFD;EPC
AttributeItemKNN;0.05944;0.09993;0.01128;0.05944;0.19838;0.01999;0.01774;0.06929;0.06634;11.99265;0.59963;7.27719;0.08573;0.20178;1732;1361;0.33571;9.88838;0.16326;0.01472
AttributeUserKNN;0.05092;0.09053;0.0104;0.05092;0.18957;0.01842;0.01487;0.0589;0.05676;0.99633;0.04982;57.84971;0.79787;0.95456;1291;1361;0.11023;8.11664;0.11588;0.01254
ChatGPT-3.5;0.0714;0.13031;0.01403;0.0714;0.25129;0.02497;0.02001;0.08504;0.07538;3.71932;0.18747;48.14003;0.38361;0.80971;876;1360;0.05529;7.07075;0.16711;0.01707
EASER;0.03181;0.0689;0.00794;0.03181;0.14769;0.01405;0.00802;0.03621;0.02853;0.09772;0.00489;92.87744;0.94851;0.99565;478;1361;0.02435;6.09373;0.06434;0.00757
ItemKNN;0.03691;0.06718;0.00698;0.03691;0.13299;0.01247;0.01;0.04327;0.03876;11.53857;0.57693;21.22469;0.23714;0.2463;2228;1361;0.61147;10.64069;0.08981;0.00854
MostPop;0.01112;0.01947;0.0025;0.01112;0.04702;0.00437;0.00336;0.01255;0.01225;0;0;108.50588;1;1;28;1361;0.00918;4.5327;0.01912;0.00257
PaLM 2;0.04173;0.07554;0.0075;0.04173;0.10672;0.01339;0.01141;0.05047;0.04133;2.96688;0.18239;49.63106;0.49214;0.76574;740;1072;0.05053;6.78225;0.10314;0.01047
Random;0.00275;0.00664;0.00081;0.00275;0.01616;0.00142;0.00062;0.00308;0.00232;13.79427;0.68971;5.77384;0.54294;0.00061;2234;1361;0.84123;11.06758;0.0067;0.0007
RP3beta;0.03953;0.07466;0.0079;0.03953;0.14842;0.01409;0.01088;0.04686;0.04138;9.32917;0.46646;20.36381;0.36144;0.44122;2150;1361;0.46941;10.34562;0.09431;0.00933
text-davinci-003;0.0556;0.10967;0.0119;0.0556;0.19251;0.02116;0.01448;0.06317;0.05388;2.70977;0.14058;61.16968;0.63209;0.86033;631;1361;0.02713;6.01335;0.12671;0.01329
UserKNN;0.04016;0.0811;0.00893;0.04016;0.16605;0.01589;0.01084;0.04798;0.03953;0.90448;0.04522;60.85636;0.8654;0.95885;1377;1361;0.10896;8.06935;0.08617;0.00957
VSM;0.05805;0.1151;0.01308;0.05805;0.22483;0.02318;0.01654;0.07338;0.05447;11.63336;0.58167;7.77355;0.09747;0.23714;1681;1361;0.30591;9.76606;0.16113;0.0145
