model;nDCG;Recall;Precision;nDCGRendle2020;HR;F1;MAP;MAR;MRR;ACLT;APLT;ARP;PopREO;PopRSP;ItemCoverage;UserCoverage;Gini;SEntropy;EFD;EPC
ChatGPT-3.5;0.08536;0.18504;0.00802;0.08536;0.31521;0.01527;0.01441;0.13564;0.07764;8.38575;0.22121;36.16197;0.34827;0.76198;1029;1360;0.07221;7.70358;0.13247;0.01336
VSM;0.07117;0.16771;0.00754;0.07117;0.31668;0.01434;0.01243;0.11762;0.05749;30.19251;0.60385;7.53464;0.06996;0.19333;1856;1361;0.39692;10.15722;0.10733;0.00968
AttributeItemKNN;0.07104;0.14658;0.00660;0.07104;0.28655;0.01255;0.01208;0.10378;0.06912;30.80456;0.61609;7.08720;0.08553;0.16844;1867;1361;0.42203;10.24391;0.10671;0.00961
AttributeUserKNN;0.06680;0.15381;0.00710;0.06680;0.30860;0.01349;0.01097;0.09879;0.06043;4.83615;0.09672;41.77850;0.71704;0.90933;2010;1361;0.19455;8.99638;0.08459;0.00904
ItemKNN;0.04890;0.11626;0.00489;0.04890;0.22116;0.00933;0.00747;0.07402;0.04160;26.78913;0.53578;16.63286;0.32590;0.32289;2234;1361;0.66477;10.79920;0.06499;0.00624
UserKNN;0.05400;0.13737;0.00607;0.05400;0.26231;0.01155;0.00862;0.08589;0.04254;4.81999;0.09640;42.12936;0.82569;0.90965;2067;1361;0.19848;9.01181;0.06468;0.00708
RP3beta;0.05010;0.11620;0.00508;0.05010;0.23512;0.00968;0.00814;0.07878;0.04427;24.99412;0.49988;12.47866;0.37880;0.38574;2222;1361;0.55403;10.63597;0.06678;0.00656
MostPop;0.03761;0.12679;0.00605;0.03761;0.26672;0.01149;0.00405;0.04813;0.01849;0.00000;0.00000;71.69740;1.00000;1.00000;61;1361;0.02290;5.76773;0.04137;0.00506
Random;0.00585;0.01876;0.00087;0.00585;0.04262;0.00165;0.00083;0.01006;0.00322;34.20353;0.68407;5.76281;0.05755;0.00275;2234;1361;0.89986;11.10232;0.00854;0.00081
EASER;0.05309;0.15528;0.00710;0.05309;0.30639;0.01349;0.00759;0.08241;0.03334;0.49302;0.00986;62.04598;0.94630;0.99121;1045;1361;0.05554;7.29077;0.06072;0.00702
text-davinci-003;0.08189;0.22024;0.00891;0.08189;0.21969;0.01699;0.01219;0.13371;0.05487;5.26745;0.13934;50.01659;0.55565;0.80998;725;1361;0.02949;6.32001;0.11651;0.01210
PaLM 2;0.05903;0.14775;0.00578;0.05903;0.11684;0.01103;0.00869;0.09306;0.04175;3.80405;0.15252;46.27225;0.48654;0.74684;832;1072;0.04926;6.98573;0.10369;0.01034
